Order ID,Product ID,Location ID,Sales Person ID,Customer ID,Quantity,Price,Cost Per Unit,Taxes,Purchase Date,revenue,totalsales
OID10001,PID2071,A152,EMP1009,C1499,1,136,72.0,20.4,20170923,64.0,136
OID10002,PID2053,A139,EMP1007,C1359,1,596,358.0,89.4,20170207,238.0,596
OID10005,PID2030,A121,EMP1003,C1220,1,1899,1044.0,284.85,20170627,855.0,1899
OID10007,PID2001,A122,EMP1003,C1368,4,951,504.0,142.65,20170112,1788.0,3804
OID10009,PID2082,A101,EMP1029,C1764,1,1103,838.0,165.45,20170728,265.0,1103
OID10011,PID2004,A156,EMP1007,C1348,3,1278,665.0,191.7,20170413,1839.0,3834
OID10017,PID2088,A163,EMP1032,C1619,1,603,416.0,90.45,20171208,187.0,603
OID10022,PID2077,A171,EMP1005,C1723,2,530,424.0,79.5,20170903,212.0,1060
OID10023,PID2005,A164,EMP1021,C1713,4,684,561.0,102.6,20170528,492.0,2736
OID10024,PID2059,A104,EMP1036,C1673,3,1494,971.0,224.1,20170114,1569.0,4482
OID10025,PID2047,A170,EMP1015,C1753,1,290,200.0,43.5,20170905,90.0,290
OID10034,PID2099,A103,EMP1029,C1299,1,1367,984.0,205.05,20170530,383.0,1367
OID10038,PID2098,A143,EMP1039,C1674,1,1178,683.0,176.7,20170419,495.0,1178
OID10040,PID2053,A122,EMP1040,C1301,4,596,358.0,89.4,20170224,952.0,2384
OID10043,PID2068,A119,EMP1024,C1641,4,1500,900.0,225.0,20170604,2400.0,6000
OID10044,PID2001,A120,EMP1038,C1604,2,951,504.0,142.65,20170920,894.0,1902
OID10045,PID2058,A161,EMP1028,C1419,2,2257,1535.0,338.55,20170312,1444.0,4514
OID10046,PID2010,A161,EMP1010,C1207,4,1812,1305.0,271.8,20170627,2028.0,7248
OID10050,PID2004,A172,EMP1003,C1012,1,1278,665.0,191.7,20170720,613.0,1278
OID10053,PID2030,A116,EMP1021,C1364,3,1899,1044.0,284.85,20171207,2565.0,5697
OID10054,PID2095,A151,EMP1012,C1105,1,1743,872.0,261.45,20170916,871.0,1743
OID10055,PID2098,A172,EMP1015,C1791,3,1178,683.0,176.7,20170801,1485.0,3534
OID10060,PID2065,A150,EMP1044,C1723,1,2396,1965.0,359.4,20170813,431.0,2396
OID10068,PID2058,A107,EMP1012,C1767,1,2257,1535.0,338.55,20170329,722.0,2257
OID10079,PID2043,A172,EMP1024,C1217,1,545,425.0,81.75,20171219,120.0,545
OID10080,PID2009,A129,EMP1029,C1550,3,584,420.0,87.6,20171130,492.0,1752
OID10081,PID2056,A120,EMP1008,C1749,1,1635,1046.0,245.25,20171204,589.0,1635
OID10083,PID2092,A112,EMP1002,C1257,3,1639,1295.0,245.85,20170426,1032.0,4917
OID10085,PID2002,A130,EMP1004,C1043,3,847,534.0,127.05,20170516,939.0,2541
OID10087,PID2092,A152,EMP1009,C1357,3,1639,1295.0,245.85,20170826,1032.0,4917
OID10090,PID2050,A146,EMP1001,C1463,3,2391,1291.0,358.65,20170124,3300.0,7173
OID10093,PID2035,A113,EMP1044,C1758,4,458,376.0,68.7,20170602,328.0,1832
OID10094,PID2040,A143,EMP1016,C1780,4,1889,945.0,283.35,20171022,3776.0,7556
OID10095,PID2027,A105,EMP1039,C1007,1,2497,1473.0,374.55,20170210,1024.0,2497
OID10101,PID2036,A128,EMP1042,C1030,1,1582,1234.0,237.3,20171014,348.0,1582
OID10103,PID2015,A121,EMP1035,C1614,3,637,389.0,95.55,20170911,744.0,1911
OID10104,PID2047,A168,EMP1023,C1446,3,290,200.0,43.5,20170904,270.0,870
OID10105,PID2025,A146,EMP1015,C1607,2,667,387.0,100.05,20170408,560.0,1334
OID10108,PID2015,A131,EMP1029,C1660,1,637,389.0,95.55,20171202,248.0,637
OID10113,PID2010,A167,EMP1007,C1471,3,1812,1305.0,271.8,20170516,1521.0,5436
OID10117,PID2060,A140,EMP1031,C1436,3,1467,807.0,220.05,20170510,1980.0,4401
OID10120,PID2021,A131,EMP1009,C1756,1,217,171.0,32.55,20170912,46.0,217
OID10125,PID2000,A137,EMP1016,C1541,2,2241,1367.0,336.15,20170421,1748.0,4482
OID10128,PID2054,A126,EMP1029,C1347,1,127,79.0,19.05,20170215,48.0,127
OID10129,PID2083,A129,EMP1026,C1013,1,2141,1777.0,321.15,20170527,364.0,2141
OID10131,PID2019,A119,EMP1013,C1704,1,800,536.0,120.0,20171128,264.0,800
OID10139,PID2009,A104,EMP1027,C1221,2,584,420.0,87.6,20170123,328.0,1168
OID10142,PID2046,A128,EMP1028,C1794,4,2410,1518.0,361.5,20170208,3568.0,9640
OID10143,PID2049,A127,EMP1035,C1258,1,826,562.0,123.9,20170312,264.0,826
OID10146,PID2009,A135,EMP1018,C1633,1,584,420.0,87.6,20170708,164.0,584
OID10149,PID2093,A119,EMP1007,C1666,3,112,90.0,16.8,20170807,66.0,336
OID10154,PID2075,A140,EMP1033,C1407,1,400,208.0,60.0,20170706,192.0,400
OID10160,PID2032,A128,EMP1014,C1293,2,1967,1397.0,295.05,20171215,1140.0,3934
OID10161,PID2079,A107,EMP1034,C1266,4,1725,1363.0,258.75,20170914,1448.0,6900
OID10164,PID2048,A134,EMP1010,C1285,1,502,296.0,75.3,20171021,206.0,502
OID10165,PID2025,A155,EMP1026,C1071,1,667,387.0,100.05,20170613,280.0,667
OID10168,PID2048,A161,EMP1018,C1469,4,502,296.0,75.3,20170131,824.0,2008
OID10174,PID2033,A105,EMP1007,C1199,4,2182,1200.0,327.3,20170427,3928.0,8728
OID10175,PID2054,A107,EMP1030,C1415,3,127,79.0,19.05,20170528,144.0,381
OID10178,PID2041,A100,EMP1030,C1690,1,1380,1090.0,207.0,20171230,290.0,1380
OID10179,PID2097,A139,EMP1025,C1650,4,1052,589.0,157.8,20171217,1852.0,4208
OID10181,PID2093,A140,EMP1017,C1658,3,112,90.0,16.8,20171027,66.0,336
OID10185,PID2048,A150,EMP1005,C1329,2,502,296.0,75.3,20171003,412.0,1004
OID10189,PID2002,A111,EMP1030,C1590,1,847,534.0,127.05,20170927,313.0,847
OID10190,PID2034,A152,EMP1015,C1206,2,871,540.0,130.65,20171115,662.0,1742
OID10192,PID2093,A168,EMP1016,C1251,1,112,90.0,16.8,20170227,22.0,112
OID10193,PID2054,A139,EMP1004,C1679,2,127,79.0,19.05,20170806,96.0,254
OID10194,PID2041,A106,EMP1005,C1417,1,1380,1090.0,207.0,20171111,290.0,1380
OID10196,PID2083,A129,EMP1008,C1141,1,2141,1777.0,321.15,20170622,364.0,2141
OID10202,PID2041,A107,EMP1032,C1663,1,1380,1090.0,207.0,20170328,290.0,1380
OID10203,PID2070,A143,EMP1014,C1112,1,1671,1220.0,250.65,20171112,451.0,1671
OID10205,PID2042,A168,EMP1040,C1306,4,203,154.0,30.45,20171208,196.0,812
OID10206,PID2054,A107,EMP1011,C1387,1,127,79.0,19.05,20170208,48.0,127
OID10210,PID2051,A164,EMP1028,C1781,4,1077,732.0,161.55,20170213,1380.0,4308
OID10213,PID2049,A120,EMP1013,C1338,2,826,562.0,123.9,20170926,528.0,1652
OID10215,PID2089,A118,EMP1033,C1018,2,2294,1399.0,344.1,20170309,1790.0,4588
OID10216,PID2037,A106,EMP1025,C1077,4,880,634.0,132.0,20171011,984.0,3520
OID10221,PID2022,A121,EMP1019,C1705,1,561,421.0,84.15,20170921,140.0,561
OID10222,PID2059,A117,EMP1012,C1168,1,1494,971.0,224.1,20171007,523.0,1494
OID10223,PID2036,A135,EMP1011,C1148,1,1582,1234.0,237.3,20170819,348.0,1582
OID10226,PID2019,A125,EMP1021,C1259,1,800,536.0,120.0,20171211,264.0,800
OID10231,PID2016,A163,EMP1013,C1465,3,1351,1108.0,202.65,20170121,729.0,4053
OID10233,PID2020,A155,EMP1043,C1387,3,2005,1223.0,300.75,20170318,2346.0,6015
OID10235,PID2006,A124,EMP1037,C1083,3,1826,1443.0,273.9,20171118,1149.0,5478
OID10238,PID2038,A105,EMP1004,C1780,1,392,255.0,58.8,20170426,137.0,392
OID10242,PID2017,A171,EMP1003,C1731,1,35,22.0,5.25,20170329,13.0,35
OID10245,PID2053,A145,EMP1036,C1431,1,596,358.0,89.4,20170123,238.0,596
OID10246,PID2056,A125,EMP1039,C1454,1,1635,1046.0,245.25,20170625,589.0,1635
OID10247,PID2021,A111,EMP1041,C1507,3,217,171.0,32.55,20170926,138.0,651
OID10256,PID2072,A125,EMP1029,C1310,1,1887,1378.0,283.05,20170211,509.0,1887
OID10264,PID2042,A161,EMP1022,C1715,2,203,154.0,30.45,20170822,98.0,406
OID10266,PID2027,A153,EMP1022,C1143,1,2497,1473.0,374.55,20170810,1024.0,2497
OID10271,PID2065,A151,EMP1006,C1534,1,2396,1965.0,359.4,20170117,431.0,2396
OID10274,PID2018,A131,EMP1036,C1365,1,1972,1321.0,295.8,20170914,651.0,1972
OID10278,PID2054,A160,EMP1023,C1620,1,127,79.0,19.05,20170330,48.0,127
OID10279,PID2049,A140,EMP1001,C1434,1,826,562.0,123.9,20171225,264.0,826
OID10280,PID2098,A131,EMP1039,C1070,2,1178,683.0,176.7,20170604,990.0,2356
OID10283,PID2039,A137,EMP1012,C1175,1,817,409.0,122.55,20171231,408.0,817
OID10284,PID2028,A116,EMP1019,C1715,4,2283,1484.0,342.45,20170202,3196.0,9132
OID10291,PID2066,A127,EMP1024,C1499,3,2091,1485.0,313.65,20171002,1818.0,6273
OID10294,PID2006,A121,EMP1012,C1443,4,1826,1443.0,273.9,20171229,1532.0,7304
OID10299,PID2022,A143,EMP1022,C1304,2,561,421.0,84.15,20171229,280.0,1122
OID10301,PID2079,A164,EMP1019,C1015,2,1725,1363.0,258.75,20170222,724.0,3450
OID10305,PID2080,A114,EMP1042,C1095,3,2353,1788.0,352.95,20170330,1695.0,7059
OID10306,PID2032,A150,EMP1025,C1307,1,1967,1397.0,295.05,20171104,570.0,1967
OID10314,PID2096,A104,EMP1042,C1244,3,1587,1301.0,238.05,20171025,858.0,4761
OID10319,PID2016,A158,EMP1016,C1094,1,1351,1108.0,202.65,20170329,243.0,1351
OID10320,PID2016,A128,EMP1036,C1723,2,1351,1108.0,202.65,20170928,486.0,2702
OID10326,PID2085,A108,EMP1044,C1212,4,1862,1173.0,279.3,20171227,2756.0,7448
OID10328,PID2018,A103,EMP1027,C1110,3,1972,1321.0,295.8,20170723,1953.0,5916
OID10336,PID2088,A155,EMP1012,C1654,4,603,416.0,90.45,20171126,748.0,2412
OID10338,PID2037,A129,EMP1007,C1383,1,880,634.0,132.0,20170101,246.0,880
OID10340,PID2086,A166,EMP1018,C1548,4,123,84.0,18.45,20170211,156.0,492
OID10341,PID2059,A155,EMP1039,C1035,1,1494,971.0,224.1,20170925,523.0,1494
OID10345,PID2087,A152,EMP1034,C1288,1,1022,818.0,153.3,20170426,204.0,1022
OID10347,PID2026,A101,EMP1015,C1304,2,947,786.0,142.05,20170721,322.0,1894
OID10348,PID2018,A131,EMP1020,C1019,2,1972,1321.0,295.8,20170821,1302.0,3944
OID10352,PID2084,A120,EMP1029,C1724,2,1783,1230.0,267.45,20171016,1106.0,3566
OID10353,PID2028,A172,EMP1004,C1509,1,2283,1484.0,342.45,20170728,799.0,2283
OID10356,PID2081,A130,EMP1030,C1671,3,1566,1190.0,234.9,20170904,1128.0,4698
OID10358,PID2044,A120,EMP1008,C1130,1,886,478.0,132.9,20170609,408.0,886
OID10362,PID2071,A169,EMP1019,C1322,1,136,72.0,20.4,20170118,64.0,136
OID10363,PID2031,A108,EMP1001,C1394,1,1638,1261.0,245.7,20170501,377.0,1638
OID10364,PID2080,A147,EMP1038,C1798,3,2353,1788.0,352.95,20171027,1695.0,7059
OID10365,PID2015,A125,EMP1013,C1679,1,637,389.0,95.55,20170604,248.0,637
OID10367,PID2096,A113,EMP1008,C1751,1,1587,1301.0,238.05,20170719,286.0,1587
OID10370,PID2011,A132,EMP1017,C1419,1,530,435.0,79.5,20170716,95.0,530
OID10372,PID2063,A140,EMP1007,C1254,3,1708,871.0,256.2,20170104,2511.0,5124
OID10373,PID2060,A136,EMP1035,C1229,4,1467,807.0,220.05,20171129,2640.0,5868
OID10377,PID2086,A129,EMP1026,C1124,2,123,84.0,18.45,20171223,78.0,246
OID10378,PID2007,A120,EMP1019,C1174,1,1405,1054.0,210.75,20170111,351.0,1405
OID10380,PID2076,A110,EMP1035,C1062,1,1522,791.0,228.3,20170123,731.0,1522
OID10383,PID2040,A141,EMP1024,C1085,2,1889,945.0,283.35,20171112,1888.0,3778
OID10390,PID2011,A151,EMP1006,C1422,3,530,435.0,79.5,20170311,285.0,1590
OID10395,PID2085,A111,EMP1017,C1402,1,1862,1173.0,279.3,20171120,689.0,1862
OID10396,PID2044,A116,EMP1018,C1217,1,886,478.0,132.9,20170407,408.0,886
OID10399,PID2084,A103,EMP1012,C1539,1,1783,1230.0,267.45,20171004,553.0,1783
OID10400,PID2038,A138,EMP1032,C1490,4,392,255.0,58.8,20171018,548.0,1568
OID10401,PID2019,A156,EMP1011,C1618,1,800,536.0,120.0,20170629,264.0,800
OID10403,PID2041,A124,EMP1042,C1717,4,1380,1090.0,207.0,20170423,1160.0,5520
OID10408,PID2069,A166,EMP1025,C1742,1,378,291.0,56.7,20170430,87.0,378
OID10413,PID2000,A109,EMP1017,C1345,1,2241,1367.0,336.15,20170820,874.0,2241
OID10414,PID2043,A170,EMP1039,C1096,1,545,425.0,81.75,20171030,120.0,545
OID10417,PID2090,A151,EMP1024,C1132,1,1338,682.0,200.7,20171002,656.0,1338
OID10419,PID2017,A101,EMP1040,C1196,1,35,22.0,5.25,20170113,13.0,35
OID10420,PID2010,A112,EMP1002,C1599,1,1812,1305.0,271.8,20170727,507.0,1812
OID10421,PID2001,A112,EMP1033,C1041,1,951,504.0,142.65,20170125,447.0,951
OID10423,PID2038,A130,EMP1037,C1446,4,392,255.0,58.8,20170101,548.0,1568
OID10425,PID2098,A120,EMP1002,C1682,1,1178,683.0,176.7,20170926,495.0,1178
OID10426,PID2088,A147,EMP1032,C1103,1,603,416.0,90.45,20170412,187.0,603
OID10429,PID2014,A162,EMP1010,C1368,4,1809,1067.0,271.35,20170708,2968.0,7236
OID10430,PID2026,A136,EMP1034,C1055,1,947,786.0,142.05,20170819,161.0,947
OID10431,PID2002,A113,EMP1007,C1660,1,847,534.0,127.05,20170409,313.0,847
OID10434,PID2079,A166,EMP1034,C1465,2,1725,1363.0,258.75,20170201,724.0,3450
OID10438,PID2081,A123,EMP1012,C1330,2,1566,1190.0,234.9,20171101,752.0,3132
OID10440,PID2020,A116,EMP1008,C1265,1,2005,1223.0,300.75,20170206,782.0,2005
OID10443,PID2057,A133,EMP1021,C1571,1,181,130.0,27.15,20170104,51.0,181
OID10444,PID2034,A117,EMP1012,C1254,3,871,540.0,130.65,20170915,993.0,2613
OID10445,PID2053,A165,EMP1033,C1743,4,596,358.0,89.4,20171231,952.0,2384
OID10447,PID2057,A127,EMP1027,C1359,1,181,130.0,27.15,20171004,51.0,181
OID10454,PID2084,A124,EMP1020,C1631,1,1783,1230.0,267.45,20171227,553.0,1783
OID10462,PID2034,A113,EMP1003,C1188,1,871,540.0,130.65,20170527,331.0,871
OID10464,PID2011,A125,EMP1025,C1330,1,530,435.0,79.5,20170116,95.0,530
OID10465,PID2011,A100,EMP1025,C1076,1,530,435.0,79.5,20171012,95.0,530
OID10466,PID2029,A154,EMP1022,C1126,2,1848,1294.0,277.2,20171017,1108.0,3696
OID10467,PID2040,A162,EMP1001,C1653,2,1889,945.0,283.35,20170905,1888.0,3778
OID10469,PID2031,A120,EMP1037,C1736,3,1638,1261.0,245.7,20170513,1131.0,4914
OID10474,PID2040,A160,EMP1043,C1031,1,1889,945.0,283.35,20171008,944.0,1889
OID10475,PID2084,A154,EMP1007,C1219,1,1783,1230.0,267.45,20170717,553.0,1783
OID10479,PID2041,A130,EMP1005,C1214,1,1380,1090.0,207.0,20170625,290.0,1380
OID10480,PID2095,A125,EMP1040,C1213,4,1743,872.0,261.45,20170530,3484.0,6972
OID10482,PID2052,A152,EMP1025,C1065,2,1526,1251.0,228.9,20170607,550.0,3052
OID10485,PID2075,A159,EMP1018,C1586,3,400,208.0,60.0,20171220,576.0,1200
OID10486,PID2046,A111,EMP1016,C1196,1,2410,1518.0,361.5,20170918,892.0,2410
OID10487,PID2091,A143,EMP1015,C1654,3,368,294.0,55.2,20170323,222.0,1104
OID10488,PID2028,A170,EMP1017,C1169,1,2283,1484.0,342.45,20170929,799.0,2283
OID10490,PID2089,A169,EMP1025,C1595,1,2294,1399.0,344.1,20170408,895.0,2294
OID10496,PID2076,A144,EMP1026,C1514,4,1522,791.0,228.3,20170601,2924.0,6088
OID10498,PID2061,A166,EMP1043,C1647,1,913,584.0,136.95,20170328,329.0,913
OID10499,PID2027,A142,EMP1013,C1793,3,2497,1473.0,374.55,20170828,3072.0,7491
